[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  session_start(): A session had already been started - ignoring in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php on line 4, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:2, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   3. session_start() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php:4, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: company_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 587, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:2, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   3. permrep::is_remembered() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php:7, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Notice:  Undefined index: db_name in C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\backstage.php on line 65, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP Stack trace:, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   1. {main}() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:0, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   2. require_once() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\reports.php:2, referer: http://foxtrot_online:2000/dashboard.php
[Sat Sep 08 12:14:32.448037 2018] [php7:notice] [pid 7572:tid 1308] [client 127.0.0.1:53131] PHP   3. permrep::is_remembered() C:\\Users\\alonb\\Desktop\\FoxTrotOnline\\header.php:7, referer: http://foxtrot_online:2000/dashboard.php
